POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;2;Audi Sport Team Joest;Marcel Fassler;André Lotterer;Benoit Treluyer;;Audi R18 TDI;M;LM P1;;;Classified;355;24:02'21.525;;;229;3'25.289;239.0;
2;9;Team Peugeot Total;Pedro Lamy;Sebastien Bourdais;Simon Pagenaud;;Peugeot 908;M;LM P1;;;Classified;355;24:02'35.379;13.854;13.854;227;3'26.298;237.8;
3;8;Peugeot Sport Total;Franck Montagny;Stephane Sarrazin;Nicolas Minassian;;Peugeot 908;M;LM P1;;;Classified;353;24:03'24.956;2 Laps;2 Laps;247;3'27.790;236.1;
4;7;Peugeot Sport Total;Marc Gene;Alex Wurz;Anthony Davidson;;Peugeot 908;M;LM P1;;;Classified;351;24:03'06.661;4 Laps;2 Laps;188;3'27.713;236.2;
5;10;Team Oreca Matmut;Nicolas Lapierre;Loic Duval;Olivier Panis;;Peugeot 908 HDI-FAP;M;LM P1;;;Classified;339;24:04'09.307;16 Laps;12 Laps;215;3'29.443;234.3;
6;12;Rebellion Racing;Neel Jani;Nicolas Prost;Jeroen Bleekemolen;;Lola B 10/60 Coupe-Toyota;M;LM P1;;;Classified;338;24:04'19.858;17 Laps;1 Laps;224;3'36.495;226.6;
7;22;Kronos Racing;Vanina Ickx;Maxime Martin;Bas Leinders;;Lola Aston Martin;M;LM P1;;;Classified;328;24:05'29.523;27 Laps;10 Laps;30;3'39.803;223.2;
8;41;Greaves Motorsport;Karim Ojjeh;Olivier Lombard;Thomas Kimber-Smith;;Zytek Nissan;D;LM P2;;;Classified;326;24:02'37.056;29 Laps;2 Laps;217;3'43.883;219.2;
9;26;Signatech Nissan;Franck Mailleux;Lucas Ordoñez;Soheil Ayari;;Oreca 03-Nissan;D;LM P2;;;Classified;320;24:04'56.753;35 Laps;6 Laps;79;3'42.625;220.4;
10;33;Level 5 Motorsports;Scott Tucker;Christophe Bouchut;Joao Barbosa;;Lola Coupe-Honda Performance Development;M;LM P2;;;Classified;319;24:04'36.506;36 Laps;1 Laps;236;3'46.809;216.3;
11;73;Corvette Racing;Antonio Garcia;Tommy Milner;Olivier Beretta;;Chevrolet Corvette C6 ZR1;M;LM GTE Pro;;;Classified;314;24:02'52.851;41 Laps;5 Laps;200;4'00.553;204.0;
12;36;RML;Tommy Erdos;Mike Newton;Ben Collins;;Honda Performance Development Arx 01 D;D;LM P2;;;Classified;314;24:04'11.010;41 Laps;1'18.159;249;3'45.622;217.5;
13;51;AF Corse Srl;Giancarlo Fisichella;Gianmaria Bruni;Toni Vilander;;Ferrari 458 Italia;M;LM GTE Pro;;;Classified;314;24:05'22.386;41 Laps;1'11.376;167;3'59.415;204.9;
14;49;Oak Racing;Shinji Nakano;Nicolas De Crem;Jan Charouz;;Oak Pescarolo-BMW;D;LM P2;;;Classified;313;24:04'08.003;42 Laps;1 Laps;271;3'45.057;218.0;
15;56;BMW Motorsport;Andy Priaulx;Dirk Muller;Joey Hand;;BMW M3 GT;D;LM GTE Pro;;;Classified;313;24:05'23.885;42 Laps;1'15.882;241;3'58.876;205.4;
16;77;Team Felbermayr-Proton;Marc Lieb;Richard Lietz;Wolf Henzler;;Porsche 911 RSR (997);M;LM GTE Pro;;;Classified;312;24:04'41.045;43 Laps;1 Laps;203;4'00.221;204.2;
17;76;Imsa Performance Matmut;Patrick Pilet;Raymond Narac;Nicolas Armindo;;Porsche 911 RSR (997);M;LM GTE Pro;;;Classified;311;24:04'47.725;44 Laps;1 Laps;199;4'00.952;203.6;
18;80;Flying Lizard Motorsports;Jörg Bergmeister;Patrick Long;Lucas Luhr;;Porsche 911 RSR (997);M;LM GTE Pro;;;Classified;310;24:03'07.393;45 Laps;1 Laps;264;4'01.585;203.1;
