POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;DRIVER_5;
1;8;Toyota Gazoo Racing;Sébastien BUEMI;Kazuki NAKAJIMA;Brendon HARTLEY;;Toyota TS050 - Hybrid;M;LMP1;H;;Classified;387;24:01'45.305;;;3;3'19.762;245.6;;
2;1;Rebellion Racing;Bruno SENNA;Norman NATO;Gustavo MENEZES;;Rebellion R13 - Gibson;M;LMP1;;;Classified;382;24:03'05.492;5 Laps;5 Laps;4;3'19.264;246.2;;
3;7;Toyota Gazoo Racing;Mike CONWAY;Kamui KOBAYASHI;Jose Maria LOPEZ;;Toyota TS050 - Hybrid;M;LMP1;H;;Classified;381;24:03'18.565;6 Laps;1 Laps;4;3'19.357;246.1;;
4;3;Rebellion Racing;Romain DUMAS;Nathanaël BERTHON;Louis DELETRAZ;;Rebellion R13 - Gibson;M;LMP1;;;Classified;381;24:04'27.973;6 Laps;1'09.408;318;3'21.854;243.0;;
5;22;United Autosports;Philip HANSON;Filipe ALBUQUERQUE;Paul DI RESTA;;Oreca 07 - Gibson;M;LMP2;;;Classified;370;24:02'33.577;17 Laps;11 Laps;3;3'29.709;233.9;;
6;38;JOTA;Anthony DAVIDSON;Antonio Felix DA COSTA;Roberto GONZALEZ;;Oreca 07 - Gibson;G;LMP2;;;Classified;370;24:03'06.408;17 Laps;32.831;251;3'30.452;233.1;;
7;31;Panis Racing;Nicolas JAMIN;Julien CANAL;Matthieu VAXIVIERE;;Oreca 07 - Gibson;G;LMP2;;;Classified;368;24:01'57.436;19 Laps;2 Laps;298;3'29.689;233.9;;
8;36;Signatech Alpine ELF;André NEGRÃO;Pierre RAGUES;Thomas LAURENT;;Alpine A470 - Gibson;M;LMP2;;;Classified;367;24:03'13.572;20 Laps;1 Laps;333;3'29.750;233.9;;
9;26;G-Drive Racing;Roman RUSINOV;Jean-Eric VERGNE;Mikkel JENSEN;;Aurus 01 - Gibson;M;LMP2;;;Classified;367;24:04'11.150;20 Laps;57.578;314;3'28.821;234.9;;
10;28;IDEC Sport;Paul LAFARGUE;Paul Loup CHATIN;Richard BRADLEY;;Oreca 07 - Gibson;M;LMP2;;;Classified;366;24:02'57.605;21 Laps;1 Laps;277;3'29.599;234.0;;
11;25;Algarve Pro Racing;John FALB;Simon TRUMMER;Matthew MCMURRY;;Oreca 07 - Gibson;G;LMP2;;;Classified;365;24:05'13.245;22 Laps;1 Laps;3;3'31.567;231.9;;
12;42;Cool Racing;Nicolas LAPIERRE;Antonin BORGA;Alexandre COIGNY;;Oreca 07 - Gibson;M;LMP2;;;Classified;365;24:05'45.485;22 Laps;32.240;339;3'29.424;234.2;;
13;50;Richard Mille Racing Team;Tatiana CALDERON;Sophia FLÖRSCH;Beitske VISSER;;Oreca 07 - Gibson;M;LMP2;;;Classified;364;24:02'34.603;23 Laps;1 Laps;267;3'32.231;231.1;;
14;47;Cetilar Racing;Roberto LACORTE;Andrea BELICCHI;Giorgio SERNAGIOTTO;;Dallara P217 - Gibson;M;LMP2;;;Classified;363;24:03'34.377;24 Laps;1 Laps;297;3'32.261;231.1;;
15;17;IDEC Sport;Patrick PILET;Kyle TILLEY;Jonathan KENNARD;;Oreca 07 - Gibson;M;LMP2;;;Classified;363;24:04'26.139;24 Laps;51.762;193;3'29.609;234.0;;
16;27;DragonSpeed USA;Henrik HEDMAN;Ben HANLEY;Renger VAN DER ZANDE;;Oreca 07 - Gibson;M;LMP2;;;Classified;361;24:03'47.200;26 Laps;2 Laps;330;3'29.500;234.1;;
17;32;United Autosports;Will OWEN;Alex BRUNDLE;Job VAN UITERT;;Oreca 07 - Gibson;M;LMP2;;;Classified;359;24:02'34.108;28 Laps;2 Laps;248;3'27.508;236.4;;
18;35;Eurasia Motorsport;Nobuya YAMANAKA;Nicholas FOSTER;Roberto MERHI;;Ligier JSP217 - Gibson;M;LMP2;;;Classified;351;24:01'57.100;36 Laps;8 Laps;320;3'32.415;230.9;;
19;29;Racing Team Nederland;Frits VAN EERD;Giedo VAN DER GARDE;Nyck DE VRIES;;Oreca 07 - Gibson;M;LMP2;;;Classified;349;24:02'13.424;38 Laps;2 Laps;142;3'28.983;234.7;;
20;97;Aston Martin Racing;Maxime MARTIN;Alexander LYNN;Harry TINCKNELL;;Aston Martin Vantage AMR;M;LMGTE Pro;;;Classified;346;24:03'11.428;41 Laps;3 Laps;182;3'50.321;213.0;;
21;51;AF Corse;Alessandro PIER GUIDI;James CALADO;Daniel SERRA;;Ferrari 488 GTE Evo;M;LMGTE Pro;;;Classified;346;24:04'44.592;41 Laps;1'33.164;114;3'51.002;212.4;;
22;95;Aston Martin Racing;Nicki THIIM;Marco SØRENSEN;Richard WESTBROOK;;Aston Martin Vantage AMR;M;LMGTE Pro;;;Classified;343;24:03'11.461;44 Laps;3 Laps;223;3'51.277;212.1;;
23;82;Risi Competizione;Olivier PLA;Sébastien BOURDAIS;Jules GOUNON;;Ferrari 488 GTE Evo;M;LMGTE Pro;;;Classified;339;24:02'47.574;48 Laps;4 Laps;280;3'51.408;212.0;;
24;90;TF Sport;Salih YOLUC;Charles EASTWOOD;Jonathan ADAM;;Aston Martin Vantage AMR;M;LMGTE Am;;;Classified;339;24:04'20.981;48 Laps;1'33.407;164;3'53.055;210.5;;
25;77;Dempsey - Proton Racing;Christian RIED;Riccardo PERA;Matt CAMPBELL;;Porsche 911 RSR;M;LMGTE Am;;;Classified;339;24:05'10.733;48 Laps;49.752;168;3'53.747;209.9;;
26;83;AF Corse;François PERRODO;Emmanuel COLLARD;Nicklas NIELSEN;;Ferrari 488 GTE Evo;M;LMGTE Am;;;Classified;339;24:05'13.780;48 Laps;3.047;39;3'54.303;209.4;;
