car,overall_position,class_position,team,vehicle,class,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average
Toyota Racing #8,1,1,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Silverstone,6,2014,167,5:22:42.296,0,0,Michelin,Classified,112.0,1:44.646,202.7
Toyota Racing #7,2,2,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,Silverstone,6,2014,166,5:23:14.056,1 Laps,1 Laps,Michelin,Classified,17.0,1:44.326,203.3
Porsche Team #20,3,3,Porsche Team,Porsche 919 Hybrid,LMP1,Silverstone,6,2014,165,5:22:47.120,2 Laps,1 Laps,Michelin,Classified,4.0,1:45.245,201.5
Rebellion Racing #12,4,4,Rebellion Racing,Lola B12/60 - Toyota,LMP1,Silverstone,6,2014,159,5:23:52.071,8 Laps,6 Laps,Michelin,Classified,5.0,1:47.195,197.8
G-Drive Racing #26,5,1,G-Drive Racing,Morgan - Nissan,LMP2,Silverstone,6,2014,154,5:24:15.065,13 Laps,5 Laps,Dunlop,Classified,3.0,1:51.339,190.5
KCMG #47,6,2,KCMG,Oreca 03 - Nissan,LMP2,Silverstone,6,2014,152,5:22:59.911,15 Laps,2 Laps,Dunlop,Classified,4.0,1:51.597,190.0
Porsche Team Manthey #92,7,1,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Silverstone,6,2014,147,5:23:11.855,20 Laps,5 Laps,Michelin,Classified,3.0,2:00.963,175.3
Porsche Team Manthey #91,8,2,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,Silverstone,6,2014,147,5:23:57.636,20 Laps,45.781,Michelin,Classified,3.0,2:01.075,175.2
Aston Martin Racing #97,9,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,Silverstone,6,2014,147,5:24:39.700,20 Laps,42.064,Michelin,Classified,3.0,2:02.054,173.7
AF Corse #51,10,4,AF Corse,Ferrari F458 Italia,LMGTE Pro,Silverstone,6,2014,147,5:25:11.062,20 Laps,31.362,Michelin,Classified,3.0,2:01.282,174.9
AF Corse #71,11,5,AF Corse,Ferrari F458 Italia,LMGTE Pro,Silverstone,6,2014,146,5:25:06.489,21 Laps,1 Laps,Michelin,Classified,3.0,2:01.909,174.0
RAM Racing #52,12,6,RAM Racing,Ferrari F458 Italia,LMGTE Pro,Silverstone,6,2014,146,5:25:09.645,21 Laps,3.156,Michelin,Classified,97.0,2:02.651,172.9
